Launch Vehicle,Stage Number,Stage Name,Origin,Designer,Fuel,Oxidizer,Inert mass,Propellant mass,Tank material,Common bulkhead,Liftoff under own thrust,Engine designation,Number of engines,Year of first flight,Year of final flight,Reference,Notes
Ariane 4,3,H10,Europe,Arianespace,H2,O2,1780,1.17E+04,aluminum,TRUE,,HM7B,1,1988,2003,Isakowitz,includes vehicle equipment bay
Ariane 5G,1,H158,Europe,Arianespace,H2,O2,1.22E+04,1.58E+05,aluminum,TRUE,FALSE,Vulcain,1,1996,2003,Isakowitz,
Ariane 5ECA,1,H173,Europe,Arianespace,H2,O2,1.60E+04,1.72E+05,aluminum,TRUE,FALSE,Vulcain 2,1,2002,,Isakowitz,
Ariane 5ECA,2,ESC-A,Europe,Arianespace,H2,O2,3418,14540,aluminum,FALSE,,HM7B,1,2002,,Isakowitz,
Atlas IIAS,1,,USA,Lockheed Martin,kero,O2,11245,1.56E+05,steel,TRUE,TRUE,MA-5A,3,1993,2004,Isakowitz,
Atlas IIAS,2,Centaur IIAS,USA,Lockheed Martin,H2,O2,2200,16780,steel,TRUE,,RL10A-4,2,1993,2004,Isakowitz,
Atlas IIIA,1,,USA,Lockheed Martin,kero,O2,14190,1.83E+05,steel,TRUE,TRUE,RD-180,1,2000,2004,Isakowitz,
Atlas IIIA,2,Centaur IIIA,USA,Lockheed Martin,H2,O2,1720,16930,steel,TRUE,,RL10A-4,1,2000,2004,Isakowitz,
Atlas V,1,CCB,USA,Lockheed Martin,kero,O2,20743,2.84E+05,aluminum,FALSE,TRUE,RD-180,1,2002,,Isakowitz,
Atlas V,2,Centaur SEC,USA,Lockheed Martin,H2,O2,1914,20830,steel,TRUE,,RL10A-4,1,2002,,Isakowitz,
Delta II,1,,USA,Boeing,kero,O2,5680,9.61E+04,aluminum,FALSE,TRUE,RS-27A,1,1990,2018,Isakowitz,
Delta IV,1,CBC,USA,Boeing,H2,O2,26760,2.00E+05,aluminum,FALSE,TRUE,RS-68,1,2002,,Isakowitz,
Delta IV,2,DCSS,USA,Boeing,H2,O2,2850,20400,aluminum,FALSE,,RL10B-2,1,2002,,Isakowitz,
Electron,1,,New Zealand / USA,Rocket Lab,kero,O2,950,9250,composite,,TRUE,Rutherford,9,2017,,Space Launch Report,Includes pump battery mass
Electron,2,,New Zealand / USA,Rocket Lab,kero,O2,250,2050,composite,,,Rutherford Vacuum,1,2017,,Space Launch Report,Includes pump battery mass
Falcon 1,1,,USA,SpaceX,kero,O2,1296,21087,aluminum,TRUE,TRUE,Merlin 1C,1,2006,2009,Isakowitz,
Falcon 1,2,,USA,SpaceX,kero,O2,360,3854,aluminum,TRUE,,Kestrel,1,2006,2009,Isakowitz,Pressure-fed engine
Falcon 9 block 3,1,,USA,SpaceX,kero,O2,2.72E+04,4.11E+05,aluminum,TRUE,TRUE,Merlin 1D,9,2015,2018,Space Launch Report,
Falcon 9 block 3,2,,USA,SpaceX,kero,O2,4.50E+03,1.12E+05,aluminum,TRUE,,Merlin 1D Vacuum,1,2015,2018,Space Launch Report,
H-IIA,1,,Japan,Mitsubishi,H2,O2,1.36E+04,1.00E+05,aluminum,,FALSE,LE-7A,1,2001,,Isakowitz,
H-IIA,2,,Japan,Mitsubishi,H2,O2,3.00E+03,1.66E+04,aluminum,FALSE,,LE-5B,1,2001,,Isakowitz,
Long March 3,3,,China,,H2,O2,2.00E+03,8.50E+03,,,,YF-73,1,1984,2000,Isakowitz,
Long March 5,1,,China,,H2,O2,1.70E+04,1.58E+05,aluminum,FALSE,FALSE,YF-77,2,2016,,"Space Launch Report, spaceflight101",
Long March 7,1,,China,,kero,O2,1.25E+04,1.74E+05,aluminum,FALSE,FALSE,YF-100,2,2016,,"Space Launch Report, spaceflight101",
GSLV Mk.I,3,,India,,H2,O2,2.50E+03,1.25E+04,aluminum,,,KVD-1,1,2001,2010,Isakowitz,
GSLV Mk.III,2,C25,India,,H2,O2,5.00E+03,2.80E+04,aluminum,,,CE-20,1,2017,,"ISRO, spaceflight101",
Saturn V,1,S-IC,USA,NASA MSFC / Boeing,kero,O2,1.30E+05,2.16E+06,aluminum,FALSE,TRUE,F-1,5,1967,1973,Wikipedia,
Saturn V,2,S-IIC,USA,NASA MSFC / North America Aviation,H2,O2,4.01E+04,4.56E+05,aluminum,TRUE,,J-2,5,1967,1973,Wikipedia,
Saturn V,3,S-IVB,USA,NASA MSFC / Douglas,H2,O2,1.35E+04,1.10E+05,aluminum,TRUE,,J-2,1,1966,1973,Wikipedia,
Soyuz 2,3,,Soviet Union,,kero,O2,2470,2.28E+04,aluminum,FALSE,,RD-0124,1,2004,,Isakowitz,
Molniya M,4,Block L,Soviet Union,,kero,O2,1160,5500,aluminum,FALSE,,,1,1964,2010,Isakowitz,
Titan IV,3,Centaur-T,USA,Lockheed Martin,H2,O2,2775,20950,steel,TRUE,,RL10A-3,2,1994,2003,Isakowitz,
Zenit 2,1,,Soviet Union,Yuzhnoye,kero,O2,3.23E+04,3.22E+05,aluminum,FALSE,TRUE,RD-171,1,1985,2004,Isakowitz,
Zenit 2,2,,Soviet Union,Yuzhnoye,kero,O2,9.00E+03,8.17E+04,aluminum,FALSE,,RD-120,1,1985,2004,Isakowitz,
Zenit 3SL,3,Block DM-SL,Ukraine,Yuzhnoye,kero,O2,2620,1.59E+04,aluminum,FALSE,,11D58M,1,1999,,Isakowitz,
